movie,scene,starttime,endtime,startsec_adj,endsec_adj,startTR,endTR,text
1,"5, 6",00:54,01:13,9.470999999999997,28.470999999999997,7,19,"The first movie was Catch Me If You Can, and it started out where Frank Abagnale Jr. was on the TV show To Tell The Truth with two other people, and the point of the show was to find out who was the real Frank, "
1,9,01:18,01:25,33.471,40.471,23,27,"and a woman on the panel asked him, who was the person that caught him, and he said, ""Carl Hanratty."""
1,"10, 13, 14",01:25,01:49,40.471,64.471,28,43,"And then it changed to a scene where Carl was talking to the French police, because he was there from the FBI to get Frank for his extradition, and when he was taken into the room to see Frank, to read him his rights, Frank was really sick."
1,"15, 16, 17",01:49,01:59,64.471,74.471,44,50,"He might’ve been pretending to be sicker than he was, and so Carl told the French police to get a doctor, "
1,"18, 19",02:01,02:19,76.471,94.471,52,63,"and they took, the police and Carl took Frank into a hospital room, but the French police said there wasn’t going to be a doctor until the next day if Carl wanted to take Frank back to America the next day."
1,"20, 21, 22, 23, 25",02:19,02:39,94.471,114.471,64,76,"And while Carl and the police were arguing, Frank escaped through the door, but since he was sick, he was only able to crawl on the floor, and all the other prisoners were cheering, but eventually the French police and Carl caught up to him, and he surrendered."
2,28,02:39,02:49,114.471,124.471,77,83,"The second movie was a woman who had a pizza, "
2,"31, 32, 33, 34",02:49,03:04,124.471,139.471,84,93,"and she had brought a new record called A Single Life in, and she put the record on the turntable, but it was skipping, and every time it skipped, the pizza was already eaten, "
2,36,03:04,03:11,139.471,146.471,94,98,"so then she realized that she could use the record to change time, and she jumped forward."
2,36,03:11,03:12,146.471,147.471,99,99,She was married.
2,"37, 38",03:13,03:29,148.471,164.471,100,110,"Then she was pregnant, and then she was turning it, and then she turned it forward more, and she had the baby, but that baby was crying, so she jumped back, but then she was a little kid, so she wanted to jump forward again."
2,39,03:29,03:43,164.471,178.471,111,119,"She jumped forward, and she was an old woman with a broken leg in a wheelchair, and she wanted to change it, but every time she wanted to wheel forward in her wheelchair, the record would skip and send her back, "
2,40,03:44,03:51,179.471,186.471,121,124,"so then she fell over on her back, and the record skipped forward, and she was really old, and she had a walker."
2,41,03:51,04:01,186.471,196.471,125,131,"Then she realized the record was about to end, so she tried to rush forward to stop it, but then she was dead, and she was ashes in a vase."
-1,-1,04:02,04:05,197.471,200.471,133,134,The third movie.
5,5000,04:19,04:28,214.471,223.471,144,149,"The fifth movie was about Keith Reynolds, "
5,"84, 85, 86",04:29,04:46,224.471,241.471,151,161,"and Keith was a little blue guy with a purple hat, and he pulled up in his blue car to his office building where he worked, and he expected to get a promotion, which he was really excited about, because he wanted to impress this woman."
5,87,04:48,05:06,243.471,261.471,163,174,"I can't remember her name, but she was pink, and every day Keith made a coffee for the pink woman, but she didn't really like him, so she threw it out the window, and it fell onto this orange guy, who was a window cleaner, who had a ladder, and then he fell, "
5,88,05:07,05:12,262.471,267.471,176,178,"and then the, a different guy downstairs saw the guy fall."
5,88,05:12,05:15,267.471,270.471,179,180,The guy in HR saw the guy fall.
5,90,05:17,05:28,272.471,283.471,183,189,"Then later at the same time, a different guy, maybe his name was Carl, "
5,"90, 91",05:29,05:37,284.471,292.471,191,195,"no, a different guy,  well a different guy was getting the promotion that Keith wanted to get, or that Keith thought he was gonna get,"
5,"92, 93",05:37,05:54,292.471,309.471,196,206,"so the other guy went downstairs to tell the pink girl about it, and they started kissing, and while Keith was upstairs finding out that he didn't get the promotion, so he was sad."
5,93,05:54,06:04,309.471,319.471,207,213,"And then when he saw, and then he went downstairs to make another coffee for the pink woman, he saw her kissing the guy who got his promotion."
5,"94, 95, 96",06:04,06:21,319.471,336.471,214,224,"Then when the guy who got it got on the elevator, Keith told him to go screw himself, and then the guy punched him in the face, so then Keith beat him up, and then he accidentally killed him."
5,98,06:21,06:28,336.471,343.471,225,229,"Then Keith was going to take the body to the stairs, "
5,97,06:32,06:45,347.471,360.471,233,240,"but the maybe orange also woman wanted to go up to the seventh floor to use the bathroom, and she was gonna take the stairs, because it was her New Year’s resolution, "
5,99,06:45,06:57,360.471,372.471,241,248,"and she was going up the stairs, and she saw Keith coming down the stairs with the body, and she fainted, and since she was on the stairs when she fainted, she also died."
5,101,06:57,07:15,372.471,390.471,249,260,"Then, so then, that was on the sixth floor, so then Keith saw the ladder on the sixth floor, and he decided to take the ladder, the body down the ladder,"
5,"105, 106",07:16,07:42,391.471,417.471,262,278,"but then while he was climbing down the ladder, he had a moment of realization, and then the movie ended when he was just standing on the ladder, and the HR guy downstairs saw Keith standing on the ladder, floating kind of balanced in the middle of the place."
3,3000,07:42,07:47,417.471,422.471,279,282,So the third movie was the Boyfriend.
