movie,scene,starttime,endtime,startsec_adj,endsec_adj,startTR,endTR,text
11,"1,107",00:40,00:58,7.841999999999999,25.842,6,17,"Uh okay, so uh, well first of all, both sequences began with an ad for concessions with dancing popcorn, dancing candy bar, and an invitation to go to the lobby and get candy."
1,1000,00:59,01:03,26.842,30.842,19,21,After that the first film that we saw was the opening to Catch me if you can.
1,"5,6",01:04,01:15,31.842,42.842,22,29,It started with a uh game show um with uh three individuals all claiming to be William Abagnale.
1,"8,9",01:17,01:23,44.842,50.842,31,34,"And then some questions were asked of them, and I guess the point of the show was to try to determine who was actually William Abagnale."
1,10,01:23,01:35,50.842,62.842,35,42,"Then it went to a clip of a character played by Tom Hanks, whose name I forget, who was pursuing William Abagnale."
1,10,01:36,01:42,63.842,69.842,44,47,"And it was at a prison in Marseilles, France."
1,10,01:42,01:48,69.842,75.842,48,51,And William Abagnale was being held there.
1,"16, 17",01:48,01:51,75.842,78.842,52,53,He was very sick and asked to see a doctor.
1,20,01:52,01:56,79.842,83.842,54,56,"When he went to see the doctor, he escaped briefly."
1,"23,25,26",01:57,02:12,84.842,99.842,58,67,"And uh Tom Hanks' character and the prison guards pursued him and eventually caught him, uh at which point William Abagnale said something like ""okay, Frank, let's go home."""
2,2000,02:13,02:19,100.842,106.842,68,71,Um the next movie that I saw was called The Record.
2,"28,32",02:20,02:29,107.842,116.842,73,78,"And it began with an animated character sitting at home, eating pizza, and she put on a record."
2,"33,34",02:29,02:34,116.842,121.842,79,81,"And when the record skipped, she realized that a piece of the pizza was gone "
2,35,02:34,02:50,121.842,137.84199999999998,82,92,"and eventually put it together that um the record was somehow locked to the progress of time so that she could travel through time by either skipping forward in the record or skipping backward in the record, or playing the record backwards, et cetera."
2,35,02:52,03:04,139.84199999999998,151.84199999999998,94,101,"She then played around with this for a bit, playing the record forwards, backwards, observing time going forwards and backwards, and then skipped forward quite a bit, at which point she was pregnant."
2,"37,40",03:08,03:22,155.84199999999998,169.84199999999998,105,113,"The sequence proceeded like this, she had a baby, it skipped forward quite a bit, and she was in a wheelchair, and kept skipping in a way that was annoying to her and comical."
2,"40,41",03:24,03:41,171.84199999999998,188.84199999999998,116,126,"Then she was very old and she noticed that the record was about to play out, at which point she panicked and tried to stop it but it was too late, and then the next shot is her as an urn of her cremated ashes presumably."
-1,-1,03:42,03:49,189.84199999999998,196.84199999999998,128,131,Um let's see I'm having trouble remembering what the next one is.
5,5000,03:50,04:03,197.84199999999998,210.84199999999998,133,141,"Oh okay there was one about a character named Keith Reynolds who, so this is an animated 2-dimensional movie, about a character named Keith Reynolds,"
5,85,04:03,04:12,210.84199999999998,219.84199999999998,142,147,who's showing up to work and expecting a promotion that day after having worked very hard for a long time towards this promotion.
5,"86,87",04:13,04:28,220.84199999999998,235.84199999999998,148,157,"Um he goes into the elevator, goes up to a floor, maybe a floor that he works on, and there's a female employee who he's had a crush on for a while, "
5,"86,87",04:29,04:45,236.84199999999998,252.84199999999998,159,169,"and uh there's some context given at this point, where um he makes her coffee every day, she's not really interested in the coffee, but he does this anyways, in an attempt to flirt with her."
5,87,04:46,04:52,253.84199999999998,259.842,170,173,"So he does this as usual, she pours the coffee out the window, doesn't appear very interested in him."
5,89,04:52,04:58,259.842,265.842,174,177,Then he proceeds to the top floor where he anticipates he'll be given a promotion.
5,90,04:59,05:15,266.842,282.842,179,189,"And as he's getting off the elevator, another man, named Patrick Campbell I believe, is getting on the elevator, after having just received the promotion that Keith Reynolds expects to be getting."
5,92,05:17,05:32,284.842,299.842,191,200,"Patrick Campbell then goes down the elevator to the floor where the female employee was, I forget her name, and he tells he got the promotion, they embrace in a kiss."
5,91,05:32,05:40,299.842,307.842,201,205,Um at that point it goes back to Keith Reynolds who's receiving news that he didn't get the promotion.
5,"92,93",05:43,06:03,310.842,330.842,208,221,"So he goes back to the elevator, goes back downstairs to perhaps to flirt with the female employee again, um, and at that point he sees her making out with Patrick Campbell."
5,93,06:04,06:06,331.842,333.842,222,223,And he's obviously very upset about this.
5,"94,95",06:08,06:16,335.842,343.842,225,229,"Patrick Campbell gets on the elevator with him, they're going up the elevator, Keith Reynolds says something to Patrick Campbell that offends him, "
5,96,06:16,06:30,343.842,357.842,230,239,"Patrick Campbell punches Keith Reynolds in the face, at which point Keith Reynolds in an act of rage uh murders Patrick Campbell and he panics, he's trying to figure out what to do with the body."
5,98,06:30,06:33 ,357.842,360.842,240,241,He decides it's best to go down the stairs.
5,"97,99",06:33,06:53,360.842,380.842,242,254,"At that point, another employee is coming up the stairs, because it was her resolution to use the stairs more often, and she witnesses Keith Reynolds walking down with Patrick Campbell's dead body, uh she passes out and falls down the stairs and I believe dies."
5,"103,104",06:56,07:08,383.842,395.842,257,264,"Then he continues down the stairs with Patrick Campbell's body, uh, I think he eventually sees the woman who he had a crush on, she faints."
5,"101,105,106",07:09,07:25,396.842,412.842,266,275,"He tries to climb out the window with Patrick Campbell's body, um, and looks like drops Patrick Campbell's body, and then he's sort of suspended on a ladder for a while and the scene closes with him looking through the window at a janitor."
4,70,07:28,07:44,415.842,431.842,278,288,"There's another movie that I didn't catch the title of the movie, but it begins with a man drinking a carton of milk, and he's leaning against a car."
4,72,07:44,07:51,431.842,438.842,289,293,"Another man comes up and looks upset at him for leaning against the car, presumably it's the car of the man who just walked up."
4,73,07:52,07:56 ,439.842,443.842,294,296,Then the man who's drinking the carton of milk starts to walk down the street.
4,"73,71",07:57,08:09,444.842,456.842,298,305,"He notices, he trips over the curb, and at that point he notices that a woman who's walking on the opposite side of the street, pretends to trip, imitating or mocking him."
4,75,08:11,08:21,458.842,468.842,307,313,"He notices that, so then an exchange unfolds where he makes a silly gesture, she imitates the silly gesture, and so on."
4,77,08:22,08:28,469.842,475.842,314,317,"But I guess distracted by this, he doesn't notice that he's walking into the street."
4,77,08:29,08:40,476.842,487.842,319,325,"She tries to stop him from walking into the street, but he still thinks it's part of the exchange they're having, so he imitates her motion that's intended for him to stop walking into the street."
4,"78,79",08:40,08:50,487.842,497.842,326,332,He's hit by a car and the car somehow goes flying over a tow truck I think.
4,79,08:52,08:54,499.842,501.842,334,335,And then it's not clear what happens but maybe he died.
9,9000,08:56,09:05,503.842,512.842,337,342,"Umm let's see, there's a sequence called Post-it Love."
9,"167,168",09:07,09:21,514.842,528.842,344,353,There are some employees in an office who are flirting by leaving uh images made out of post-it notes for each other.
9,171,09:21,09:30,528.842,537.842,354,359,"So for instance, one of them leaves a folder that has, actually I don't remember, maybe a heart made out of post-it notes."
9,176,09:32,09:42,539.842,549.842,361,367,Another one leaves a series of post-it notes arranged on a wall so that it portrays a bouquet of flowers.
9,"174,175,176",09:44,09:54,551.842,561.842,369,375,I don't remember the exact sequence of events but the images themselves escalate into more and more elaborate artwork made out of post-it notes.
9,177,09:55,10:06,562.842,573.842,376,383,"Until eventually one of the characters is coming out of what looks like a supply room with a bunch of post-it notes, presumably to presumably to make another image of this sort,"
9,178,10:06,10:27,573.842,594.842,384,397,"and then she sees on a large wall, the male employee who she's been flirting with has made a very, very elaborate detailed image of both of their faces next to each other, I think surrounded by hearts, with the post-it notes."
9,9000,10:28,10:30,595.842,597.842,398,399,And that's the end of the sequence.
3,3000,10:31,10:34 ,598.842,601.842,400,401,There's a sequence called The Boyfriend.
