movie_num,scene,starttime,endtime,startsec_adj,endsec_adj,startTR,endTR,text
1,5,00:51,00:56,7.881999999999998,12.881999999999998,6,9,"So the first one is Catch Me If You Can, and they start with a game show."
1,"5, 6",00:57,01:05,13.881999999999998,21.881999999999998,10,15,"So they have three people come out, and they say their name, and it’s Frank something, and they're all the, saying they're same name."
1,7,01:05,01:26,21.881999999999998,42.882,16,29,"And they say that he’s the best con man, and he had flown planes, like two million miles, and he had also been the pediatric doctor surgeon something, and then he was the youngest, ‘cause he did this all by age 19."
1,7,01:26,01:33,42.882,49.882,30,33,"And then the guys who are standing up, they walk over to take seats behind the desks."
1,8,01:33,01:45,49.882,61.882,34,41,"And they say today they have to be truthful, and the woman asks, you know, “Why’d you do this?” and the guy is like, “For the money. I didn’t know any other way to make it.”"
1,"8, 9",01:46,01:55,62.882,71.882,43,48,"And then she asks, she asks number one that, and then she asks number two, she goes like, “How’d you get caught?” and he says it’s this guy Carl."
1,10,01:55,02:04,71.882,80.882,49,54,And then it sort of flashes back to this like rainy scene outside a prison in Marseilles.
1,10,02:04,02:13,80.882,89.882,55,60,"And Tom Hanks is there, I guess he’s Carl, and they're talking to the French guys who run the jail."
1,10,02:13,02:21,89.882,97.882,61,65,"And they wanna get in and see the, the con man who’s in prison there."
1,11,02:22,02:30,98.882,106.882,67,71,"And so they are trying to talk to them, and then they finally get let into this really sort of dreary prison."
1,"11, 13, 14",02:31,02:43,107.882,119.882,73,80,"And they get let in, and then they go up to the jail cell where he is at the end of the hallway, and Tom Hanks is trying to read the articles of extradition."
1,13,02:43,02:48,119.882,124.882,81,83,And Leo Dicaprio’s character is like coughing in the back corner.
1,"15, 16",02:49,02:55,125.882,131.882,85,88,"And he’s like, “You're not gonna fool me, ‘cause you think I’m gonna be fooled,” and he’s coughing and coughing, and then he collapses."
1,17,02:56,03:00,132.882,136.882,90,91,And then Tom Hanks starts screaming for a doctor.
1,18,03:00,03:03,136.882,139.882,92,93,"So they get him out of the jail cell, and they bring him up to the hospital."
1,19,03:04,03:11,140.882,147.882,95,99,"And he’s asking the guys about the doctor, and he says like, “Don’t ruin it for me. I’ve been chasing this guy forever.”"
1,"19, 20",03:11,03:21,147.882,157.882,100,105,"And then they say, as they're talking, “The doctor will be there tomorrow,” and as they're talking, I guess Leo Dicaprio’s character escapes through the door."
1,"20, 21",03:22,03:35,158.882,171.882,107,115,"And they look at the empty bed, and the door is ajar, and so they go through the door, and Leo Dicaprio’s character’s running down the hallway, and all the prisoners are up on the second level screaming."
1,22,03:36,03:41,172.882,177.882,116,119,"And he's like collapsing ‘cause he’s really sick, and he's falling, but he's trying to run."
1,"22, 23, 24",03:41,03:47,177.882,183.882,120,123,"And then he collapses, and the guards and Tom Hanks catch up to him, and one of the guards puts a gun to his head."
1,"25, 26",03:48,03:56,184.882,192.882,124,129,"And then he sort of gives up and falls on the floor with his arms up, and he says like, “Alright, take me home.”"
2,28,03:58,04:05,194.882,201.882,131,135,"And then there was a clip about the, this girl’s eating a pizza,"
2,"30,31,32",04:05,04:12,201.882,208.882,136,139,"and she gets a package outside the door, and it’s a record, and so she puts on the record."
2,33,04:13,04:21,209.882,217.882,141,145,"And as she spins the record forward, like time passes, and her pizza’s half eaten."
2,35,04:22,04:28,218.882,224.882,147,150,"And she spins the record forward more, and more time passes, and like the whole box is eaten and the candle goes down."
2,35,04:28,04:31,224.882,227.882,151,152,"And then she spins the record back, and it undoes that."
2,35,04:31,04:35,227.882,231.882,153,155,And so she keeps spinning it forward and back.
2,36,04:35,04:37,231.882,233.882,156,156,And so then she spins it forward and she’s pregnant.
2,37,04:38,04:46,234.882,242.882,158,162,"Then she spins it back and she's not pregnant, and forward and she's pregnant again, and then forward a bit more and she's holding a baby, and the baby starts screaming."
2,37,04:46,04:49,242.882,245.882,163,164,"So she screams for, she spins it forward more."
2,39,04:50,04:55,246.882,251.882,166,168,And then she's in a wheelchair with her leg broken.
2,39,04:56,05:05,252.882,261.882,170,175,"And she's trying to reach it to spin it, the record, but she can't reach it, because she keeps getting electrocuted or something."
2,39,05:06,05:14,262.882,270.882,176,181,"And then she, it goes backward, and she's trying to reach it, she can't reach it, and she falls backwards."
2,40,05:15,05:21,271.882,277.882,182,185,"And then she gets really old, ‘cause I guess the record jumped, and she's in a walker and she's really old."
2,40,05:22,05:24,278.882,280.882,187,187,"She's trying to get to the record, and she can't."
2,41,05:25,05:33,281.882,289.882,189,193,"And then the record skips ahead again, and it’s, she's in an urn, and the lid is like, you know, bouncing or something."
3,43,05:34,05:49,290.882,305.882,195,204,"And then there's a Boyfriend clip, where there’s this woman, and she's eating dinner and having sort of stilted conversation with this guy, and they're at opposite ends of the table."
3,44,05:49,05:56,305.882,312.882,205,209,"And she's trying to offer him wine, and he's like, “You know I can’t drink wine when I'm on call.”"
3,45,05:56,06:06,312.882,322.882,210,215,"And she says, she drinks, and she's not happy about that, and so she drinks a lot of wine."
3,45,06:06,06:10,322.882,326.882,216,218,"Or she finishes her cup of wine, and then she pours herself more."
3,47,06:11,06:15,327.882,331.882,220,221,"And then she spills, like throws wine on his face."
3,46,06:16,06:29,332.882,345.882,223,231,"And they're talking about the asparagus and how it’s tender, and she says, “It’s an aphrodisiac,” and he says, “Who says that?”"
3,47,06:29,06:34,345.882,350.882,232,234,"And then she, so yeah, she spills wine on his head, and she gets upset."
3,48,06:34,06:36,350.882,352.882,235,235,And then he starts lighting a cigarette.
3,48,06:36,06:43,352.882,359.882,236,240,"And she is like, “Don’t smoke in my house,” and then she puts out his cigarette, and he lights another one."
3,49,06:43,06:53,359.882,369.882,241,247,"And then she like screams at him, like, you know, something about their relationship and how it’s unhappy, and they’ve like, quick, short mechanical sex."
3,50,06:54,07:00,370.882,376.882,248,251,"And then she sits on his lap, and she's like apologizing."
3,3000,07:01,07:03,377.882,379.882,253,253,I guess tonight’s their anniversary.
3,50,07:03,07:09,379.882,385.882,254,257,And so she's like sort of upset on his lap.
3,51,07:09,07:15,385.882,391.882,258,261,Then she reaches around his neck and flips this switch.
3,53,07:15,07:21,391.882,397.882,262,265,"And then she gets on her computer, and she's looking at all these models of male sort of robots."
3,54,07:22,07:27,398.882,403.882,267,269,"And she calls the help line, and she sort of complains about the 100 model."
3,54,07:28,07:47,404.882,423.882,271,283,"And the help line, and she says like, you know, “He lacks ambition, and he is,” I forget the other thing, but she, the help line lady says, you know, “That’s a problem with these, this model.”"
3,55,07:47,08:00,423.882,436.882,284,291,"And so she says, you know, “We could upgrade you,” and she says, “Yeah, I’d like to be upgraded to a rock climber masseuse, with less of a beard and shorter hair.”"
3,57,08:00,08:07,436.882,443.882,292,296,"And so then they deliver her her new like robotic man, I guess like very realistic robotic man."
3,57,08:07,08:12,443.882,448.882,297,299,And he's the one she like requested.
3,"57, 58",08:12,08:20,448.882,456.882,300,305,"And so he comes in, and the other guy gets wheeled out, who’s like shut down, and then new guy hasn’t been activated yet."
3,"58, 59, 60",08:20,08:33,456.882,469.882,306,313,"And as they're wheeling out the old guy, she, you sort of see the picture frame of their wedding, and she runs toward him and kisses him and then takes off his wedding ring, and then slips it on the new boyfriend."
3,61,08:34,08:41,470.882,477.882,315,319,"And, or husband I guess, and then they sit down at dinner, and you know he slowly comes to life."
3,62,08:42,08:55,478.882,491.882,320,328,"And so he grabs the napkin in sort of a clunky manner, and then she is sitting across the table, and he asks if she wants, if he wants wine, and she says, he says no, because he has a climb tomorrow."
3,62,08:56,09:04,492.882,500.882,330,334,"And then she, she says, she sort of looks upset, because she kind of wanted a boyfriend that would drink with her."
3,63,09:05,09:09,501.882,505.882,336,337,"And then he says, you know, “Asparagus is an aphrodisiac.”"
3,63,09:09,09:12,505.882,508.882,338,339,"And she says, “Who says that?” and he says, “I don’t know.”"
3,"64, 65",09:12,09:18,508.882,514.882,340,343,"And then he comes over to her, and he starts massaging her and asking about her day."
3,65,09:18,09:25,514.882,521.882,344,348,"And she says she got lunch with Anna, and then she got stuff for dinner tonight, since it’s their anniversary."
3,66,09:25,09:35,521.882,531.882,349,355,"And she, and then as he's massaging her, he switches off her switch, ‘cause it turns out she’s a robot too."
3,67,09:35,09:39,531.882,535.882,356,357,And then he goes down and sits and watches TV and smokes a cigarette.
4,69,09:41,09:46,537.882,542.882,360,362,"And then there's the Shoe clip, where there's a zoomed in picture of the shoe."
4,76,09:46,09:52,542.882,548.882,363,366,"And then this guy is walking, and everything he does, the girl sort of copies."
4,76,09:52,10:00,548.882,556.882,367,371,"And as they're walking down the street, you know, he sort of waves, and she waves back, and then he sort of like, you know, walks funny, and she walks funny,"
4,76,10:00,10:07,556.882,563.882,372,376,"and then she walks down behind this sort of like box, and she's hidden from view, and he copies her then."
4,77,10:07,10:17,563.882,573.882,377,383,"And then she walks to the intersection, and she sort of like waves at him to stop, but he doesn’t get it, and he like waves back at her and keeps going, ‘cause he's like mimicking her."
4,78,10:18,10:21,574.882,577.882,384,385,"And then he gets hit by a car, and he likes cracks the windshield."
4,79,10:22,10:33,578.882,589.882,387,393,"And then the car like goes airborne, and then the car flips over and crashes, and the window pane falls out."
5,83,10:36,10:40,592.882,596.882,396,398,"And then there’s Keith Reynolds, and it says, “Keith Reynolds can't make it tonight.”"
5,-1,10:40,10:45,596.882,601.882,399,401,And um
5,84,10:46,10:50,602.882,606.882,403,405,"then he, there's a cartoon, and he's like going into work."
5,86,10:51,10:52,607.882,608.882,406,406,And he wants a promotion.
5,86,10:53,11:08,609.882,624.882,408,417,"And he says, and he's riding up the elevator, and he says he's the most junior, or most senior junior businessman, and he is riding up the elevator."
5,86,11:08,11:14,624.882,630.882,418,421,"And today’s the day when he wants to get a promotion, and he wants the promotion, ‘cause there's this girl that he likes."
5,85,11:15,11:26,631.882,642.882,422,429,"And so as he walks in through the entryway, there's people like tossing paper into the trashcan, and I guess there's a, someone sitting at the desk."
5,86,11:26,11:35,642.882,651.882,430,435,"And he goes up to the floor where there's a lady who is the one he likes, and he always gives her coffee."
5,86,11:35,11:37,651.882,653.882,436,436,I think it’s Sara is the girl’s name.
5,"87, 88",11:37,11:46,653.882,662.882,437,442,"And he gives her coffee, but apparently she doesn’t like coffee, so she throws it out the window, and it hits the guy who I think is cleaning the windows."
5,88,11:46,12:00,662.882,676.882,443,451,"And he falls down, and then a guy on the floor below, like HR guy, sees the guy fall down past the window, and he like doesn’t know what it is, so he looks out the window, and he sees someone on the ground, so he calls an ambulance."
5,89,12:00,12:09,676.882,685.882,452,457,"And so then Keith Richards goes up to another floor on the elevator, or another couple floors to see about his promotion."
5,90,12:10,12:20,686.882,696.882,459,465,"And the guy who’s in there right before is getting a promotion, and so he's get a really firm handshake, and he's signing with this pen."
5,92,12:20,12:36,696.882,712.882,466,475,"And then Keith, sorry Reynolds, gets out of the elevator, and the other guy gets in, and he rides down, and the other guy like rides down and gets with Sara, ‘cause Sara would want the guy to get the promotion."
5,91,12:37,12:46,713.882,722.882,477,482,"Whereas like Keith is, goes into the meeting about the promotion, and the handshake is not as firm as he thought it would be, and he doesn’t see the pen."
5,"91, 92",12:46,12:52,722.882,728.882,483,486,"He doesn’t think he's gonna get the promotion, and he doesn’t, but the other guy who got it is like making out with Sara."
5,92,12:52,13:00,728.882,736.882,487,491,"And then Keith is all sort of dejected, and he rides down to see Sara, and he's like, “Maybe I’ll get her another coffee.”"
5,93,13:00,13:09,736.882,745.882,492,497,"And the guy’s like, and when the elevator door opens, he sees the other guy making out with Sara, and then the guy gets in the elevator with him."
5,95,13:09,13:16,745.882,752.882,498,502,"And then as Keith gets off the elevator, he says something to the guy that he's never said to anyone before."
5,96,13:16,13:23,752.882,759.882,503,507,"Then the other guy gets upset, and he like punches Keith, and he's wondering if he's gonna be bruised tomorrow."
5,96,13:24,13:33,760.882,769.882,508,513,"Then he punches back, and he like beats the other guy up, and the other guy falls down, and then he like swings like his briefcase into the other guy’s head, and he kills the guy."
5,97,13:34,13:45,770.882,781.882,515,521,"And then he drags, then he’s trying to realize what to do with the dead body, and this other woman wants, has to go upstairs for some reason, I forget why."
5,97,13:45,13:54,781.882,790.882,522,527,"And the guy, and you think she's gonna take the elevator, but then apparently she had a New Year’s resolution, so she takes up the stairs."
5,98,13:54,14:02,790.882,798.882,528,533,"Then Keith’s like, he doesn’t wanna ride the elevator, ‘cause somebody could call the elevator, and then he’d see him with this dead body and all bloody and stuff."
5,"98, 99",14:03,14:06,799.882,802.882,534,535,"And so he drags him down the stairs, and so they run into this lady."
5,99,14:06,14:14,802.882,810.882,536,541,"And then she, as she's walking up the stairs, on the sixth floor or something, then she falls back when she sees Keith dragging this dead body."
5,99,14:14,14:19,810.882,815.882,542,544,"And then she hits her head, and she dies, and he's like, “That was an accident.”"
5,101,14:20,14:34,816.882,830.882,546,554,"And then he keeps going, and then he's like, “Maybe I shouldn’t walk down the stairs,” and so he's gonna go out through the window, ‘cause he sees a ladder there, which is the ladder that that other guy fell off of."
