movie,scene,starttime,endtime,startsec_adj,endsec_adj,startTR,endTR,text
1,5,01:05,01:27,8.414000000000001,30.414,7,20,"Okay, so the first movie was Catch me if you can with Leonardo di Caprio and it starts with 3, with a like a TV show, a game show I guess, with 3 men, "
1,5,01:28,01:33,31.414,36.414,22,24,"all of them wearing the same clothes and kind of like a briefcase, and Leonardo di Caprio's in the middle."
1,"4, 5, 6",01:34,01:45,37.414,48.414,26,32,"And I guess the premise is that they are all 3 they are con men, and they go by the same name, they are Frank something Abagnale."
1,"6, 7",01:46,01:52,49.414,55.414,34,37,And they have different professions and lead different lives but they're all the same man.
1,8,01:53,02:12,56.414,75.414,39,50,"And so in this talk show I guess, this woman is asking them questions, and she asks the first man, why, you know being as smart as he is, why he chose to be a con man, and he answered, the answer was about the money."
1,9,02:14,02:24,77.414,87.414,53,58,"The second question was to the second man, the man in the middle, Leonardo di Caprio, um, and the question was who caught you?"
1,"9, 10",02:25,02:51,88.414,114.414,60,76,"And the answer was he gave the name, I don't remember, and then they flashbacked to that, I guess, cop telling some other people, and I think it's raining, um, that he is this man like he's telling other people who he is."
1,10,02:51,02:58,114.414,121.414,77,81,"I think this was in France, 1969 or something like that, and telling them who he is and he keeps repeating his name."
1,10,03:00,03:06,123.414,129.414,83,86,"I guess because of his credentials, and um he needs to see Frank Abagnale."
1,"11, 12, 13",03:07,03:29,130.414,152.414,88,102,"And so he, they let him, and they're very strict about what he can do in this tiny room that is not very good looking, and I guess Frank is in solitary confinement and he's in a cell, and he's coughing, and he's so sick."
1,"14, 16",03:30,03:50,153.414,173.414,103,116,"And I guess the cop person wants to take him back to the United States for some reason and he's reading this document to him, I guess it's something legal, and Frank is just coughing and coughing and coughing and then he passes out."
1,17,03:51,03:56,174.414,179.414,117,120,And the cop freaks out and says you need to call the cops.
1,17,03:57,04:02,180.414,185.414,121,124,Also he's carrying an umbrella because it's dripping in this cell place.
1,18,04:03,04:14,186.414,197.414,125,132,"Um and they call the doctor or whatever, not really the doctor actually, but they take him to the hospital and then they want to leave him there overnight."
1,19,04:16,04:18,199.414,201.414,134,134,The cop is like what are you guys doing?
1,19,04:18,04:35,201.414,218.414,135,146,"And they're washing their hands and they're like oh the doctor comes in the morning, or something like that, and then, and then they see, and he's so upset because he needs to take him back home he says to the United States soon and he's so sick."
1,"20, 21, 22",04:36,04:47,219.414,230.414,147,154,"And then they see that he has escaped that room, except they chase after him and he can't go very fast because he's so sick, so he's like actually just crawling and coughing his way out."
1,"23, 24, 25",04:48,04:57,231.414,240.414,155,160,"And I guess the cop grabs him by the hair and he just passes out, facing up, and actually kind of smiles."
1,26,04:58,05:01,241.414,244.414,162,163,"I think, I mean he knows he's done."
1,1000,05:02,05:03,245.414,246.414,165,165,Ah so that was the first movie.
2,2000,05:04,05:07,247.414,250.414,166,167,The second movie is a cartoon I think.
2,"28, 30, 31",05:08,05:33,251.414,276.414,169,184,"Um and so this red-headed cartoon character sits on the couch, sits on this chair, and opens this envelope that has this uh what's it called, vinyl music, this disc, and she also has this slice of pizza in her hand."
2,"32, 33, 34",05:34,05:41,277.414,284.414,186,190,"So she's going to eat this pizza but then, plays the music, but then notices that as the music goes on, her pizza gets eaten."
2,35,05:42,05:50,285.414,293.414,191,196,"And then she realizes that she can play, she can play with time through this disc."
2,35,05:52,05:53,295.414,296.414,198,198,So she does.
2,35,05:54,06:01,297.414,304.414,199,203,"So she goes forward in time, she goes back and forth, back and forth, back and forth, kind of like short range, "
2,35,06:01,06:09,304.414,312.414,204,208,"so kind of like, I don't know, within the same day, like her pizza gets eaten and then comes back and then eaten and comes back and then eaten and then come back."
2,"36, 37",06:09,06:19,312.414,322.414,209,215,"But then she goes to later age, so she becomes like pregnant, and then she has a baby."
2,"38, 39, 40",06:20,06:32,323.414,335.414,217,224,"And she can keep going back and forth, and then she becomes like older and then she's on a wheelchair and then she becomes younger and she has a doll in her hand, and she's like a kid."
2,41,06:33,06:36,336.414,339.414,225,226,"And then, she pushes it so far that she's dead."
2,2000,06:37,06:39,340.414,342.414,228,228,So that movie ended.
2,2000,06:40,06:41,343.414,344.414,230,230,That was fun.
4,4000,06:42,06:51,345.414,354.414,231,236,"Um I start to forget the order of the movies, but there's another movie where it was about a shoe and how it got there."
4,69,06:51,06:53,354.414,356.414,237,238,It was on the side of the road.
4,69,06:53,06:54,356.414,357.414,239,239,So how did the shoe get there?
4,71,06:54,07:05,357.414,368.414,239,246,"So then there's this, goes to this guy who's walking around the sidewalk and notices that this woman on the other side of the sidewalk is kind of doing everything that he does, and it's very playful."
4,"73, 74",07:06,07:10,369.414,373.414,247,249,"So the guy kind of trips, and she trips too."
4,75,07:11,07:15,374.414,378.414,251,252,"He reaches up, oh he's drinking milk actually."
4,"70, 71, 72, 73",07:16,07:33,379.414,396.414,254,264,"Yeah, yeah, yeah, he was drinking a carton of milk, by a car, and then he somehow has to leave because somebody is coming or something, I think somebody scares him away, and then he notices this woman."
4,"75, 76",07:34,07:40,397.414,403.414,266,269,"He puts the carton of milk up like up high, and the woman also reaches up high."
4,76,07:41,07:45,404.414,408.414,271,272,"He starts kind of skipping or dancing, and she starts doing it too."
4,76,07:46,07:50,409.414,413.414,274,276,"And then it flips, so she starts doing something and he imitates."
4,"77, 78",07:51,08:06,414.414,429.414,277,286,"But then, he's not paying attention to the road, because he's paying attention to her, and then she's trying to, she's trying to signal to him, that there's a car coming, but he thinks it's fun and games and then he gets hit by a car."
4,80,08:07,08:10,430.414,433.414,288,289,"His shoe flies off, and that's how that shoe got there."
4,4000,08:11,08:13,434.414,436.414,291,291,So that was intense.
-1,-1,08:16,08:22,439.414,445.414,294,297,"I'm going to try to think for a second about the next, what else I saw."
5,5000,08:23,08:27,446.414,450.414,299,300,"Oh, there was a movie with stick figures."
5,5000,08:28,08:30,451.414,453.414,302,302,Oh I think that was in the second round.
5,5000,08:31,08:32,454.414,455.414,304,304,I don't know if it matters.
5,5000,08:32,08:36,455.414,459.414,305,306,"Anyway, REALLY intense movie with stick figures."
5,"105, 106",08:37,08:42,460.414,465.414,308,310,And I guess the punch line is everything is so fragile and you never know what's going to happen next.
5,106,08:43,08:46,466.414,469.414,312,313,And everybody wants the same thing I guess just like happiness.
5,106,08:47,08:49,470.414,472.414,315,315,Everything can change in the blink of an eye.
5,"85, 86",08:50,08:55,473.414,478.414,317,319,"Alright, I think that was the punch line, but what happened is this guy is super excited."
5,85,08:55,09:10,478.414,493.414,320,329,"He works at an office, like I don't know, he has like an office job, a day job, and he's like been there for a while but he you know, he's not, he doesn't have a great position, and he's like the most senior junior person."
5,86,09:12,09:17,495.414,500.414,331,334,"But it's promotion day, and he's pretty sure he's going to get the promotion, probably because he's been there for so long."
5,86,09:18,09:27,501.414,510.414,335,340,"He also, turns out, has a crush on this girl, who's also a stick figure, everybody's a stick figure, that works on a different floor."
5,87,09:27,09:32,510.414,515.414,341,344,"He makes her coffee a lot, like she actually doesn't want the coffee."
5,88,09:34,09:46,517.414,529.414,346,353,"She actually, I don't know how this is relevant, but she pours it out of the window, and actually I think kills the guy that is working on this ladder on the side of the window."
5,"89, 90, 91",09:47,10:00,530.414,543.414,355,362,"Anyway, the guy, the main character, whose name I can't remember, goes upstairs and finds out that he did not get the promotion because this other guy got it."
5,"92, 93",10:02,10:13,545.414,556.414,365,371,"This other guy then goes to the fourth floor I think, where his, the lady is, and they start kissing."
5,92,10:14,10:24,557.414,567.414,373,378,"The main guy is still upset that he didn't get the promotion, but is also obsessed with this girl, so he wants to go see if she wants another coffee."
5,"92, 93",10:25,10:35,568.414,578.414,380,386,"He takes the elevator down, turns out the guy that got the promotion instead is there, talking to this lady, and they are kissing."
5,93,10:36,10:41,579.414,584.414,387,390,So he's just in shock and also the elevator door just takes forever to close.
5,93,10:42,10:43,585.414,586.414,391,391,They're still kissing.
5,94,10:44,10:50,587.414,593.414,393,396,"And then, he asks the guy in the elevator, you know, the main guy, to leave the elevator door open for him."
5,94,10:50,10:54,593.414,597.414,397,398,"So now they're sharing the elevator door, or the elevator."
5,95,10:56,11:13,599.414,616.414,401,411,"And he can see his reflection in the mirror looking back at him, and he actually says to him well, three words that he, I guess regrets, but I'm guessing is go fuck yourself, "
5,96,11:14,11:24,617.414,627.414,413,418,"anyway, the guy hits him, and the main guy hits him back, but so much, so aggressively, that he kills him."
5,96,11:25,11:30,628.414,633.414,420,422,"And then, he decides that he needs to hide the body."
5,98,11:30,11:36,633.414,639.414,423,426,"He decides to take the elevator, the stairs I think, because the elevator, well that would be, he would probably get caught."
5,"97, 98",11:36,11:47,639.414,650.414,427,434,"Turns out as he's going down the stairs, this lady decides to go to the bathroom upstairs better she likes it better because it has better soap."
5,97,11:47,11:55,650.414,658.414,435,439,"She also made a resolution to take the stairs, exercise more, I don't know if I made that up."
5,99,11:56,12:15,659.414,678.414,441,452,"Anyway, she's taking the stairs up, she sees the guy and the dead body, mutilated body, and faints and also dies, because she faints on the stairwell, but the main guy is like, oh well, that was an accident, like not my fault."
5,101,12:15,12:18,678.414,681.414,453,454,Anyway he decides that he should not be taking the stairs.
5,"101, 105",12:19,12:29,682.414,692.414,456,462,"He decides that he should be taking those weirdo stairs outside of the window, outside of the building, and as he's doing that, he actually drops the mutilated guy and he's just balancing there."
5,106,12:29,12:34,692.414,697.414,463,465,And that's where he sees the cleaning man.
5,106,12:34,12:45,697.414,708.414,466,472,"And he realizes that you know, that's when the punch line comes in like, everybody just wants the same thing, everybody just wants to be happy, and wants a house, whatever."
5,5000,12:46,12:47,709.414,710.414,474,474,So that ended.
-1,-1,12:50,12:52,713.414,715.414,477,477,Um what else.
10,182,12:54,13:09,717.414,732.414,479,488,"Well there's a really weird movie with a guy, was wearing these white headphones and kinda looks terrible, he's wearing like sweatpants and is sweating, and he's carrying a bag that has ice cream and it's kind of melting, and he's waiting there."
