movie,scene,starttime,endtime,startsec_adj,endsec_adj,startTR,endTR,text
9,175,06:53,07:01,333.127,341.127,223,227,"Somebody goes into a stall, closes the stall door, and on the stall door is, I think, a purple heart or something else made of post-its."
9,-1,07:04,07:07,344.127,347.127,230,231,And then there's another one that I’m not quite remembering.
9,176,07:07,07:18,347.127,358.127,232,239,"Oh, the woman goes into like this, kinda closet like storage closet, opens the door, turns on the light and sees something else made of post-its that I’m not quite remembering."
9,177,07:19,07:26,359.127,366.127,240,244,And the last scene she's like carrying away this armload of post-it notes in all different colors.
9,178,07:26,07:38,366.127,378.127,245,252,"And she's walking towards like the main area of the offices, and she looks, and there's this massive portrait of two people’s faces made completely out of post-it notes that takes up the entire wall."
9,178,07:38,07:42,378.127,382.127,253,255,And the guy is there adding a few final post-it touches.
9,179,07:42,07:45,382.127,385.127,256,257,And then they look at each other and smile.
8,8000,07:47,07:49,387.127,389.127,259,259,The one before that is The Black Hole.
8,155,07:49,07:56,389.127,396.127,260,264,It also starts with a guy who is making photocopies and drinking coffee.
8,"155, 156",07:56,08:03,396.127,403.127,265,269,"And the machine gets stuck or something, and then it produces a sheet of paper that has a large black hole on it."
8,156,08:04,08:11,404.127,411.127,270,274,"The guy takes it, looks at it, puts it down, continues trying to make photocopies and drink his coffee."
8,157,08:11,08:20,411.127,420.127,275,280,"Then he puts the cup on top of the, the black hole, and it disappears, and he's like, “Oh.”"
8,158,08:20,08:30,420.127,430.127,281,287,"Then he pushes his hand like in, through the paper with the black hole, reaches in, pulls his coffee cup back out."
8,158,08:30,08:35,430.127,435.127,288,290,"And so he’s probably thinking, “Oh, this is kinda cool. I’ll, I wanna see what else I can do with it.”"
8,160,08:35,08:48,435.127,448.127,291,299,"So he looks around, sees a vending machine and takes the sheet of paper with the black hole, moves towards the vending machine, puts it over the glass and reaches in and grabs a candy bar."
8,"160, 161",08:48,08:59,448.127,459.127,300,306,"Then he opens the candy bar, starts eating it, looks around at what else he can use this black hole for, and he sees this door that’s locked, and apparently contains a safe."
8,161,08:59,09:07,459.127,467.127,307,311,"So he puts the black hole on top of the door, the, the wooden door, reaches through, unlocks it."
8,"161, 162",09:07,09:17,467.127,477.127,312,318,"Then opens the door, goes through, and there's this small gray safe that’s at the bottom of the, like on the floor."
8,162,09:17,09:21,477.127,481.127,319,321,And then he takes the sheet with the black hole and puts it on top of the safe.
8,162,09:22,09:31,482.127,491.127,322,327,"And it, at some point he must’ve gotten a piece of tape and I didn’t notice but the sheet of paper stays there, taped to the safe."
8,162,09:31,09:37,491.127,497.127,328,331,"And he reaches his hand through, through into the safe and starts pulling out wads of cash."
8,162,09:37,09:41,497.127,501.127,332,334,"And he pulls out more and more and more, puts them down on the floor."
8,162,09:41,09:44,501.127,504.127,335,336,"He's getting kinda greedy, looks around seeing if anybody sees him."
8,162,09:44,09:48,504.127,508.127,337,339,"Nobody’s coming, so he pulls out more and more and more money."
8,162,09:48,09:53,508.127,513.127,340,342,"And then he's kind of reaching the end of the safe there, but he wants to see if he can get out just a little bit more."
8,163,09:53,09:58,513.127,518.127,343,345,So he starts to reach in further and further and actually goes into the safe.
8,163,09:58,10:05,518.127,525.127,346,350,"And as he does so, his pants or his shirt catches the tape that he used to put the black hole on the safe."
8,164,10:05,10:11,525.127,531.127,351,354,"And the, the sheet with the black hole comes down, and he's in the safe."
8,164,10:11,10:15,531.127,535.127,355,357,"And now he's trapped in there, pounding on the door, and nobody comes to save him."
7,7000,10:17,10:19,537.127,539.127,359,359,The one before that is The Prisoner.
7,138,10:21,10:25,541.127,545.127,362,363,"It starts off with this guy, who’s in like this quirky little village."
7,138,10:26,10:31,546.127,551.127,365,367,And he is like at a cafe outside with these little tables.
7,138,10:31,10:33,551.127,553.127,368,369,And a woman comes.
7,138,10:34,10:37,554.127,557.127,370,371,And I forget the exact exchange they have at the beginning.
7,139,10:39,10:48,559.127,568.127,374,379,"But he asks, I don’t remember exactly what he asks her, but eventually I think he asks her about a phone."
7,140,10:50,10:56,570.127,576.127,381,384,"And so she tells him where the phone is, and he goes to, to make a phone call."
7,141,10:56,11:00,576.127,580.127,385,387,"And when he goes to make a phone call, they ask him like what’s his number."
7,141,11:00,11:06,580.127,586.127,388,391,"He doesn’t know what they're talking about, and he says like, “I don’t have a number,” and they say, “No number, no phone call.”"
7,142,11:07,11:12,587.127,592.127,392,395,"And so he's obviously confused, he doesn’t know where he is really, and so he's walking around looking kind of puzzled."
7,144,11:12,11:15,592.127,595.127,396,397,And then this woman pulls up in like this golf cart.
7,143,11:17,11:29,597.127,609.127,399,406,"Oh no wait, before that he went to this little thing that has like different numbers pinned up with different keys that he could push and different descriptions as to what the numbers could bring."
7,"143, 144",11:29,11:36,609.127,616.127,407,411,"And he's looking at that, and he pushes one of the numbers, and when he, when he does that, a woman pulls up in a golf cart."
7,"144, 145",11:36,11:40,616.127,620.127,412,413,"And then he gets into the golf cart with her, and they start driving around."
7,144,11:40,11:46,620.127,626.127,414,417,"And she asks him like where he wants to go, and I think he says France or something, and then she says like, “No, that’s international, we can't do that.”"
7,145,11:47,12:01,627.127,641.127,419,427,"And they have some kind of discussion at some point, I missed some of the words, but something about people like Czechs and Poles, and I don’t even remember why that came up, but then after she said that, she said, “Yeah, we’re quite cosmopolitan.”"
7,145,12:01,12:06,641.127,646.127,428,431,"And she's driving him around, and they see like somebody on a bike, and they're going through all these roundabouts."
7,145,12:06,12:16,646.127,656.127,432,437,"And you see that they're in like this little village that has lots of funnily painted little shops, kinda like a little funhouse or toy thing."
7,"146, 147",12:17,12:24,657.127,664.127,439,443,"Anyways, so they're, they're driving around, and eventually he like gets out, and he goes into this store."
7,147,12:25,12:30,665.127,670.127,444,447,"And he sees this guy there, this like kind of heavy-set guy who’s behind the counter."
7,148,12:30,12:36,670.127,676.127,448,451,And he walks to the counter and he tells the guy that he wants a map.
7,148,12:36,12:39,676.127,679.127,452,453,"And the guy asks him like, “What type of map do you want?”"
7,148,12:39,12:41,679.127,681.127,454,454,"And he’s like, “Whatever, just give me any map.”"
7,149,12:41,13:01,681.127,701.127,455,467,"And so the guy gives him a map, and the, the main character unfolds the map on the counter and looks at it and sees basically just some descriptions that say like, “Mountains,” “Village,” and just like a caricature of like a small town."
7,150,13:02,13:06,702.127,706.127,469,471,"And he tells the guy, “No, can you give me like a larger map?”"
7,150,13:06,13:10,706.127,710.127,472,473,"So he obviously wants to see more area, like what surrounds the village."
7,150,13:10,13:15,710.127,715.127,474,477,"And the guy asks him again, “Like what type of map? Like do you want it in color or something like that?”"
7,150,13:16,13:21,716.127,721.127,478,481,"And he says, “Whatever, like just give me a map. I just want it to be like a larger area.”"
