movie,scene,starttime,endtime,startsec_adj,endsec_adj,startTR,endTR,text
-1,-1,01:28,01:32,2.7620000000000005,6.7620000000000005,3,5,"Okay, I'm going to start with, "
2,2000,01:35,01:37,9.762,11.762,8,8,okay I'm going to start with The Record.
2,2000,01:38,01:47,12.762,21.762,10,15,"This is, this was an animated film starring like a twenty-year old, twenties-year old woman."
2,"30,31",01:47,01:56,21.762,30.762,16,21,"She received a record in the mail that was called, uh, ooh, a simple, A single life?"
2,"32,33,34",01:57,02:11,31.762,45.762,22,31,"And then when she puts it on, she's just sitting there eating pizza; she puts it on and then she realizes as it's going that the pizza starts going away, before she can even, before she even bites any of it."
2,35,02:11,02:24,45.762,58.762,32,39,"And then she sort of backtracks in the record and realizes that the record is sort of ticking away along with her life, and so it's kind of like going forward in time with the pizza being eaten."
2,35,02:24,02:30,58.762,64.762,40,43,And so she zooms forward a little bit and then realizes the whole pizza's gone.
2,"36,37",02:30,02:49,64.762,83.762,44,56,"And then she starts experimenting and she starts like, she ticks further forward in time and she notices that she's pregnant, and then starts playing around with the record again and it like sort of moves her stomach in and out to go along with the baby's growth."
2,37,02:49,02:55,83.762,89.762,57,60,"And then she jumps forward a little bit further, and then to a baby pops out."
2,"38,39",02:56,03:03,90.762,97.762,62,65,"And then she starts skipping even further in time so I think she next goes into her childhood, she skips back on the record, "
2,40,03:04,03:21,98.762,115.762,67,77,"and then from there she actually skips towards the end of her life, towards the very, one of the last moments and she realizes that she, she tries to get to the record from her chair, "
2,40,03:22,03:38,116.762,132.762,79,89,"and she realizes she can't, but she tries a few times but keeps skipping back, but she manages to get it close enough to skip it forward once again, and then she goes, it looks like she's in a nursing home,"
2,41,03:39,03:49,133.762,143.762,90,96,"and then she tries to get to the record to like kind of skip it backwards because she realizes she's about to die, and then she doesn't get there in time, and that's how that one ends."
5,5000,03:51,03:57,145.762,151.762,98,101,"I'll go to the next one, um, Keith Reynolds?"
5,85,03:58,04:02,152.762,156.762,103,105,"So Keith Reynolds is this like, is this like businessman-type guy."
5,83,04:02,04:11,156.762,165.762,106,111,"It starts with the words, I think ""Keith Reynolds can't come home tonight,"" something like that and it's basically just describing a day for Keith Reynolds."
5,"85, 86",04:11,04:22,165.762,176.762,112,118,"He walks into the office, and then describes how he's been in love with this girl on the fourth floor, and he's expecting, oh, just to backtrack a little; "
