word,word_onsets,word_offsets,boundary,agreement
p,153.46500006591796,153.8950000085449,,
capital,153.9850000048828,154.38500006835935,,
m,154.38500006835935,154.7049999755859,,
and,155.50499992309568,155.65500003662106,,
i,155.65500003662106,155.69499993530272,,
described,155.69499993530272,156.18499999511715,,
him,156.18499999511715,156.28500001098632,,
as,156.28500001098632,156.40500006591793,,
a,156.40500006591793,156.43499994506834,,
cape,156.43499994506834,156.8149999694824,,
wearing,156.8149999694824,157.20500001342774,,
masked,157.20500001342774,157.7950000891113,,
avenger,157.7950000891113,158.40500002441405,,
though,159.9349999621582,159.9950000793457,,
in,159.92499994262693,160.07500005615233,,
fact,160.07500005615233,160.34500004516602,,
hed,160.34500004516602,160.4649999206543,,
been,160.4649999206543,160.60500001464845,,
capeless,160.60500001464845,161.2650000476074,,
and,162.0249999169922,162.14499997192382,,
i,162.14499997192382,162.17500003051757,,
said,162.17500003051757,162.3650000427246,,
that,162.3650000427246,162.475000078125,,
as,162.475000078125,162.57499991455077,,
he,162.57499991455077,162.65500007080078,,
fled,162.65500007080078,162.95499993896482,,
the,162.95499993896482,163.01500005615233,,
scene,163.01500005615233,163.60499995239255,,
he,163.97499995727537,164.1449999304199,,
clicked,164.1449999304199,164.524999954834,,
his,164.524999954834,164.70499994750975,,
heels,164.70499994750975,165.20500002685546,,
in,165.20500002685546,165.3250000817871,,
rakish,165.3250000817871,165.68500006713867,,
glee,165.68500006713867,166.05500007202147,,
and,169.20499994384764,169.31499997924803,,
i,169.31499997924803,169.34500003784177,,
gave,169.34500003784177,169.61500002685543,,
him,169.61500002685543,169.70500002319335,,
a,169.70500002319335,169.74499992187498,,
catchphrase,169.74499992187498,170.71500002197263,,
in,171.6450000439453,171.81500001708983,,
latin,171.81500001708983,172.24499995971678,,
i,175.6950000585937,175.75499999633786,,
said,175.75499999633786,175.96500004760742,,
that,175.96500004760742,176.06500006347656,,
he,176.06500006347656,176.1250000012207,,
cried,176.1250000012207,176.515000045166,,
out,176.515000045166,176.85499999145506,,
ego,177.21499997680664,177.60500002075193,,
sum,177.60500002075193,178.28499991333007,,
non,178.5849999609375,179.05499998168943,,
an,179.05499998168943,179.53500002197262,,
bestia,179.53500002197262,180.28500005126952,,
which,181.75500005126952,181.94500006347656,,
means,181.94500006347656,182.2449999316406,,
i,182.2449999316406,182.98499994140624,,
am,182.98499994140624,183.17499995361325,,
not,183.17499995361325,183.6449999743652,,
an,183.78500006835932,183.99499994018552,,
animal,183.99499994018552,184.8050000866699,1.0,0.224390243902439
which,186.14500001220705,186.40499998168943,,
makes,186.40499998168943,186.85499996337887,,
no,186.9649999987793,187.34500002319336,,
sense,187.34500002319336,188.02499991577147,,
i,189.8550000805664,189.97499995605463,,
needed,189.97499995605463,190.2549999645996,,
something,190.2549999645996,190.8650000793457,,
im,191.5149999133301,191.7049999255371,,
catholic,191.7049999255371,192.30500002075192,,
latin,192.30500002075192,192.63499994750973,,
just,192.63499994750973,192.87500005737303,,
comes,192.87500005737303,193.1149999877929,,
to,193.1149999877929,193.21500000366208,,
me,193.21500000366208,193.42500005493164,1.0,0.2048780487804878
so,195.43500003295892,195.584999967041,,
i,195.584999967041,195.625000045166,,
finish,195.625000045166,195.9349999328613,,
my,195.9349999328613,196.0249999291992,,
story,196.0249999291992,196.44500003173823,,
and,196.60499998535155,196.71500002075197,,
i,196.71500002075197,196.7450000793457,,
hand,196.7450000793457,196.9649999707031,,
it,196.9649999707031,197.02500008789065,,
to,197.02500008789065,197.1349999438476,,
dwyer,197.1349999438476,197.61499998413083,,
and,197.73500003906247,197.8250000354004,,
he,197.8250000354004,197.91500003173823,,
reads,197.91500003173823,198.1950000402832,,
and,198.1950000402832,198.2950000561523,,
he,198.2950000561523,198.40499991210936,,
says,198.40499991210936,198.7749999169922,,
pie,199.4050000708008,199.68500007934568,,
man,199.68500007934568,200.18499997924803,,
i,201.07499992309567,201.21500001708984,,
love,201.21500001708984,201.505000045166,,
it,201.505000045166,201.69500005737305,,
page,201.69500005737305,202.0550000427246,,
one,202.0550000427246,202.41500002807612,1.0,0.2292682926829268
and,204.5649999206543,204.75499993286127,,
thats,204.75499993286127,205.3249999694824,,
how,205.4650000634765,205.61499999755856,,
the,205.61499999755856,205.684999954834,,
first,205.684999954834,206.11500007690427,,
line,206.11500007690427,206.575000078125,,
got,206.9250000439453,207.13499991577143,,
crossed,207.13499991577143,207.6949999328613,1.0,0.3609756097560975
a,209.39500002319332,209.665000012207,,
few,209.54499995727537,209.74499998901365,,
days,209.74499998901365,209.9550000402832,,
later,209.9550000402832,210.2150000097656,,
i,210.2150000097656,210.24500006835936,,
get,210.24500006835936,210.38499998291013,,
a,210.38499998291013,210.41500004150387,,
letter,210.41500004150387,210.85500000366207,,
it,212.01499993652345,212.1550000305176,,
says,212.1550000305176,212.45500007812495,,
dear,212.45500007812495,212.63500007080077,,
jim,212.63500007080077,212.94499995849608,,
good,213.5149999951172,213.65500008911133,,
story,213.65500008911133,214.19500006713864,,
nice,214.28500006347653,214.6450000488281,,
details,214.6849999475097,215.55500003173827,,
if,216.33499994018555,216.4549999951172,,
you,216.4549999951172,216.5950000891113,,
want,216.5950000891113,216.77500008178708,,
to,216.77500008178708,216.84500003906248,,
see,216.84500003906248,217.1250000476074,,
me,217.1250000476074,217.36499997802733,,
again,217.36499997802733,218.0049999719238,,
in,218.0049999719238,218.1849999645996,,
action,218.1849999645996,218.75500000122068,,
be,219.59500002685544,219.73499994140624,,
on,219.73499994140624,219.84499997680663,,
the,219.84499997680663,219.9049999145508,,
steps,219.9049999145508,220.29499995849608,,
of,220.29499995849608,220.40499999389647,,
duane,220.40499999389647,220.7050000415039,,
library,220.7050000415039,221.2849999182129,,
tuesday,221.2849999182129,222.00500006835935,,
at,222.00500006835935,222.16500002197265,,
three,222.16500002197265,222.40499995239256,,
